Observers ID: KZR004ZONE0.1D_FOUR
Observers Age: 23
Observers Gender: M
Observers Prescription: 0.00
Observers IOD: 55 mm
--------------------------------------------------------------
condition: 0.100
--------------------------------------------------------------
Trial	FocalDistance	VergenceAngle	TargetDistance	FarBlend	midBlend	NearBlend	Depthdifference(arcSec)	Distance	StereoAcuity(CPD)	conflict	Orientation	buttonResponse	Correct	Reversal?
57	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
58	0.10	0.945	0.300	1.000	0.000	0.000	20.000	1.000	1.000	0.200	-15	-15	1	0
59	0.10	0.945	0.300	1.000	0.000	0.000	20.000	1.000	1.000	0.200	-15	-15	1	1
60	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
61	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	15	15	1	0
62	0.10	1.261	0.400	1.000	0.000	0.000	20.000	1.000	1.000	0.300	15	15	1	0
63	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	-15	-15	1	0
64	0.10	1.261	0.400	1.000	0.000	0.000	20.000	1.000	1.000	0.300	-15	-15	1	0
65	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	-15	1	0
66	0.10	1.418	0.450	1.000	0.000	0.000	20.000	1.000	1.000	0.350	-15	-15	1	0
67	0.10	1.418	0.450	1.000	0.000	0.000	20.000	1.000	1.000	0.350	-15	-15	1	0
68	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	-15	-15	1	0
69	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	15	15	1	0
70	0.10	1.733	0.550	1.000	0.000	0.000	20.000	1.000	1.000	0.450	15	15	1	0
71	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	-15	1	0
72	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	-15	15	0	1
73	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	-15	15	0	0
74	0.10	1.733	0.550	1.000	0.000	0.000	20.000	1.000	1.000	0.450	-15	15	0	1
75	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	-15	-15	1	0
76	0.10	1.576	0.500	1.000	0.000	0.000	20.000	1.000	1.000	0.400	-15	-15	1	1
77	0.10	1.733	0.550	1.000	0.000	0.000	20.000	1.000	1.000	0.450	-15	-15	1	0
78	0.10	1.733	0.550	1.000	0.000	0.000	20.000	1.000	1.000	0.450	15	15	1	0
79	0.10	1.891	0.600	1.000	0.000	0.000	20.000	1.000	1.000	0.500	15	15	1	0
80	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	15	-15	0	0
81	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	-15	0	0
82	0.10	1.891	0.600	1.000	0.000	0.000	20.000	1.000	1.000	0.500	15	15	1	0
83	0.10	2.048	0.650	1.000	0.000	0.000	20.000	1.000	1.000	0.550	-15	-15	1	0
84	0.10	2.048	0.650	1.000	0.000	0.000	20.000	1.000	1.000	0.550	15	15	1	0
85	0.10	-0.158	-0.050	1.000	0.000	0.000	20.000	-1.000	1.000	-0.150	15	15	1	0
86	0.10	-0.158	-0.050	1.000	0.000	0.000	20.000	-1.000	1.000	-0.150	15	15	1	1
87	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
88	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
89	0.10	2.206	0.700	1.000	0.000	0.000	20.000	1.000	1.000	0.600	-15	-15	1	0
90	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	-15	15	0	1
91	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	0
92	0.10	-0.315	-0.100	1.000	0.000	0.000	20.000	-1.000	1.000	-0.200	15	15	1	1
93	0.10	2.206	0.700	1.000	0.000	0.000	20.000	1.000	1.000	0.600	15	15	1	0
94	0.10	2.363	0.750	1.000	0.000	0.000	20.000	1.000	1.000	0.650	-15	-15	1	0
95	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	15	15	1	0
96	0.10	2.363	0.750	1.000	0.000	0.000	20.000	1.000	1.000	0.650	15	15	1	0
97	0.10	2.521	0.800	1.000	0.000	0.000	20.000	1.000	1.000	0.700	15	15	1	0
98	0.10	2.521	0.800	1.000	0.000	0.000	20.000	1.000	1.000	0.700	15	15	1	0
99	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	-15	-15	1	0
100	0.10	-0.473	-0.150	1.000	0.000	0.000	20.000	-1.000	1.000	-0.250	-15	-15	1	0
101	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	15	15	1	0
102	0.10	2.836	0.900	1.000	0.000	0.000	20.000	1.000	1.000	0.800	-15	-15	1	0
103	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	15	15	1	0
104	0.10	2.836	0.900	1.000	0.000	0.000	20.000	1.000	1.000	0.800	15	-15	0	1
105	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	15	15	1	0
106	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	15	15	1	1
107	0.10	-0.630	-0.200	1.000	0.000	0.000	20.000	-1.000	1.000	-0.300	15	15	1	0
108	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	0
109	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	-15	-15	1	0
110	0.10	2.836	0.900	1.000	0.000	0.000	20.000	1.000	1.000	0.800	-15	-15	1	0
111	0.10	2.836	0.900	1.000	0.000	0.000	20.000	1.000	1.000	0.800	15	-15	0	1
112	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	-15	-15	1	0
113	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	-15	-15	1	0
114	0.10	-1.103	-0.350	1.000	0.000	0.000	20.000	-1.000	1.000	-0.450	15	-15	0	1
115	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	-15	-15	1	0
116	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	15	-15	0	0
117	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	-15	-15	1	0
118	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	15	-15	0	0
119	0.10	2.521	0.800	1.000	0.000	0.000	20.000	1.000	1.000	0.700	15	-15	0	0
120	0.10	2.363	0.750	1.000	0.000	0.000	20.000	1.000	1.000	0.650	15	15	1	0
121	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	1
122	0.10	2.363	0.750	1.000	0.000	0.000	20.000	1.000	1.000	0.650	-15	-15	1	1
123	0.10	2.521	0.800	1.000	0.000	0.000	20.000	1.000	1.000	0.700	-15	-15	1	0
124	0.10	2.521	0.800	1.000	0.000	0.000	20.000	1.000	1.000	0.700	15	15	1	0
125	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	-15	15	0	1
126	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	15	15	1	0
127	0.10	2.679	0.850	1.000	0.000	0.000	20.000	1.000	1.000	0.750	-15	-15	1	0
128	0.10	2.836	0.900	1.000	0.000	0.000	20.000	1.000	1.000	0.800	-15	-15	1	0
129	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	0
130	0.10	2.836	0.900	1.000	0.000	0.000	20.000	1.000	1.000	0.800	-15	-15	1	0
131	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	1
132	0.10	2.994	0.950	1.000	0.000	0.000	20.000	1.000	1.000	0.850	15	15	1	0
133	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	-15	15	0	1
134	0.10	2.994	0.950	1.000	0.000	0.000	20.000	1.000	1.000	0.850	-15	-15	1	0
135	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	-15	-15	1	0
136	0.10	3.151	1.000	1.000	0.000	0.000	20.000	1.000	1.000	0.900	-15	-15	1	0
137	0.10	-0.788	-0.250	1.000	0.000	0.000	20.000	-1.000	1.000	-0.350	15	15	1	1
138	0.10	3.151	1.000	1.000	0.000	0.000	20.000	1.000	1.000	0.900	15	15	1	0
139	0.10	3.309	1.050	1.000	0.000	0.000	20.000	1.000	1.000	0.950	15	15	1	0
140	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	-15	-15	1	0
141	0.10	3.309	1.050	1.000	0.000	0.000	20.000	1.000	1.000	0.950	15	15	1	0
142	0.10	3.466	1.100	1.000	0.000	0.000	20.000	1.000	1.000	1.000	-15	15	0	1
143	0.10	3.309	1.050	1.000	0.000	0.000	20.000	1.000	1.000	0.950	-15	-15	1	0
144	0.10	-0.945	-0.300	1.000	0.000	0.000	20.000	-1.000	1.000	-0.400	15	15	1	0
145	0.10	-1.103	-0.350	1.000	0.000	0.000	20.000	-1.000	1.000	-0.450	15	15	1	0
146	0.10	3.309	1.050	1.000	0.000	0.000	20.000	1.000	1.000	0.950	-15	-15	1	1
